## https://www.senate.gov/legislative/cloture/clotureCounts.htm
Congress	Years	Motions Filed	Votes on Cloture	Cloture Invoked
117	2021-2022	13	11	11
116	2019-2020	328	298	270
115	2017-2018	201	168	157
114	2015-2016	128	123	60
113	2013-2014	252	218	187
112	2011-2012	115	73	41
111	2009-2010	137	91	63
110	2007-2008	139	112	61
109	2005-2006	68	54	34
108	2003-2004	62	49	12
107	2001-2002	71	61	34
106	1999-2000	71	58	28
105	1997-1998	69	53	18
104	1995-1996	82	50	9
103	1993-1994	80	46	14
102	1991-1992	60	48	23
101	1989-1990	38	24	11
100	1987-1988	54	43	12
99	1985-1986	41	23	10
98	1983-1984	41	19	11
97	1981-1982	31	27	9
96	1979-1980	30	21	10
95	1977-1978	23	13	3
94	1975-1976	39	27	17
93	1973-1974	44	31	9
92	1971-1972	24	20	4
91	1969-1970	7	6	0
