COVID-19 Vaccinations in the United States
Date generated: Fri Apr 16 2021 15:21:19 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,735675,100565,133380,504860,69013,495629,89859,286100,39.1,280259,50.8,228333,31.2,224895,40.8,363675,320400,51600,0,13441,226501,264846,72,97837,117819,12663,14,97675,114603,12603,14,215670,39.1,280259,50.8,29.5,212292,38.5,286100,69839,76.3,64072,70,36887,25741,1438,6,130859,142878,803244
Alabama,3531670,72028,92576,2245574,45798,2237792,58660,1459377,29.8,1452333,38.1,915654,18.7,914741,24,1744470,1543200,244000,0,71678,1075122,1098774,0,409340,432971,73298,45,409294,432138,73264,45,842356,29.8,1452333,38.1,17.2,841477,22.1,1459377,595025,70,445799,52.5,232590,190510,22667,32,998339,117474,415570
Arkansas,2296340,76093,99081,1561736,51751,1551563,66946,989656,32.8,980658,42.3,621708,20.6,620168,26.8,1102140,1036300,157900,0,53343,734515,773503,375,279931,289537,52150,90,279865,288313,51902,88,569558,32.8,980658,42.3,18.9,568266,24.5,989656,372211,71,281899,53.8,161681,111711,8441,66,645099,123138,438332
American Samoa,43810,78669,100859,35972,64594,34845,80220,20247,36.4,19593,45.1,15807,28.4,15337,35.3,30810,12400,600,0,0,8019,27953,0,3532,12269,6,0,3523,11808,6,0,15801,36.4,19593,45.1,28.4,15331,35.3,20247,2356,24.9,2049,21.6,814,1234,1,0,4344,45886,462765
Arizona,5627335,77312,99802,4366496,59990,4326923,76739,2663248,36.6,2631764,46.7,1702622,23.4,1696610,30.1,2810535,2444000,372800,0,124798,1907142,2332248,2308,695053,886248,120566,755,694955,880407,120493,755,1582056,36.6,2631764,46.7,21.7,1576117,28,2663248,998963,76.3,775562,59.3,367323,384319,23415,505,1821519,139193,430016
Bureau of Prisons,137790,N/A,N/A,131681,N/A,131680,N/A,77232,N/A,77231,N/A,55511,N/A,55511,N/A,78390,52800,6600,0,1735,51064,78882,0,20918,32870,1723,0,20918,32870,1723,0,53788,N/A,77231,N/A,0,53788,0,77232,2893,0,2358,0,1129,1200,29,0,5254,0,0
California,31956570,80878,104373,25047682,63392,24853443,81174,16475520,41.7,16314674,53.3,9439183,23.9,9403131,30.7,16026270,13671000,2259300,0,1044285,11193995,12806820,2582,3880725,4522124,1035830,504,3878278,4491969,1032381,503,8403353,41.7,16314674,53.3,21.3,8370750,27.3,16475520,4955043,84.9,3637165,62.3,1886079,1642607,108189,290,8553880,146518,547378
Colorado,4462590,77493,99186,3646570,63322,3612341,80288,2349784,40.8,2319876,51.6,1405861,24.4,1401023,31.1,2215590,1956800,290200,0,139293,1683212,1823049,1016,610554,657358,137661,288,610282,653294,137159,288,1268200,40.8,2319876,51.6,22,1263864,28.1,2349784,680871,80.8,582258,69.1,292066,277763,12306,123,1262336,149848,529740
Connecticut,3326635,93306,117224,2671509,74931,2650691,93405,1689462,47.4,1669961,58.8,1083206,30.4,1082036,38.1,1753635,1353200,219800,0,115948,1119938,1435422,201,436072,530962,116133,39,435850,530099,116048,39,967073,47.4,1669961,58.8,27.1,965988,34,1689462,552792,87.7,480865,76.3,185861,284066,10921,17,1034820,164194,527833
District of Columbia,673155,95382,116547,491109,69587,489801,84802,275427,39,274194,47.5,157353,22.3,156977,27.2,352755,275900,44500,0,18853,186177,286079,0,56632,77755,22943,23,56629,77395,22931,22,134410,39,274194,47.5,19,134046,23.2,275427,64761,74.1,47792,54.7,26073,20174,1536,9,139134,159296,770703
