State	BidenPct	TrumpPct	TrumpMargin	TrumpState	PctPopln1Dose	PctPoplnFullDose	PctDosesUsed
Alabama	36.57	62.03	25.46	TRUE	29.8	18.7	63.6
Alaska	42.77	52.83	10.06	TRUE	39.1	31.2	68.6
Arizona	49.36	49.06	-0.299999999999997	FALSE	36.6	23.4	77.6
Arkansas	34.78	62.4	27.62	TRUE	32.8	20.6	68
California	63.48	34.32	-29.16	FALSE	41.7	23.9	78.4
Colorado	55.4	41.9	-13.5	FALSE	40.8	24.4	81.7
Connecticut	59.26	39.19	-20.07	FALSE	47.4	30.4	80.3
Delaware	58.74	39.77	-18.97	FALSE	40.6	24.3	78.1
Florida	47.86	51.22	3.36	TRUE	36.7	22.9	73.9
Georgia	49.47	49.24	-0.229999999999997	FALSE	31.8	17.9	66.6
Hawaii	63.73	34.27	-29.46	FALSE	38.8	27.4	73.7
Idaho	33.07	63.84	30.77	TRUE	31.5	22.1	76.1
Illinois	57.54	40.55	-16.99	FALSE	40.4	23.8	77.8
Indiana	40.96	57.02	16.06	TRUE	32.4	22	75.8
Iowa	44.89	53.09	8.2	TRUE	39.9	27.2	84.1
Kansas	41.56	56.21	14.65	TRUE	39.4	25.1	75.2
Kentucky	36.15	62.09	25.94	TRUE	38	26.2	81.6
Louisiana	39.85	58.46	18.61	TRUE	30.6	22.4	70.7
Maine	53.09	44.02	-9.07	FALSE	47.7	31.5	87.5
Maryland	65.36	32.15	-33.21	FALSE	41.5	26.6	80.2
Massachusetts	65.6	32.14	-33.46	FALSE	47	28.1	86.4
Michigan	50.62	47.84	-2.77999999999999	FALSE	37.4	24.8	76.7
Minnesota	52.4	45.28	-7.12	FALSE	41.2	27.6	88.4
Mississippi	41.06	57.6	16.54	TRUE	28.9	20.5	64.6
Missouri	41.41	56.8	15.39	TRUE	33.1	22	72.2
Montana	40.55	56.92	16.37	TRUE	37.7	26.5	76.2
Nebraska	39.17	58.22	19.05	TRUE	40.1	27.1	83.5
Nevada	50.06	47.67	-2.39	FALSE	35.5	23	81.9
New Hampshire	52.71	45.36	-7.35	FALSE	57.5	27.4	99.4
New Jersey	57.33	41.4	-15.93	FALSE	44.8	28.6	87.2
New Mexico	54.29	43.5	-10.79	FALSE	46.5	31.3	85.6
New York	60.86	37.75	-23.11	FALSE	41.5	27.5	83.4
North Carolina	48.59	49.93	1.34	TRUE	35.5	23.7	75.5
North Dakota	31.76	65.11	33.35	TRUE	37.6	28.4	87.1
Ohio	45.24	53.27	8.03	TRUE	36.9	24.9	78
Oklahoma	32.29	65.37	33.08	TRUE	36.3	25.1	71.9
Oregon	56.45	40.37	-16.08	FALSE	37.6	24	78.4
Pennsylvania	50.01	48.84	-1.16999999999999	FALSE	42.1	25.1	79.8
Rhode Island	59.39	38.61	-20.78	FALSE	43.6	30.9	86.5
South Carolina	43.43	55.11	11.68	TRUE	33.7	22.1	74
South Dakota	35.61	61.77	26.16	TRUE	42.3	30.1	78.9
Tennessee	37.45	60.66	23.21	TRUE	31.3	19.4	70.5
Texas	46.48	52.06	5.58000000000001	TRUE	34.3	21.7	77.1
Utah	37.65	58.13	20.48	TRUE	34.7	18.5	84.9
Vermont	66.09	30.67	-35.42	FALSE	45.5	29.8	82
Virginia	54.11	44	-10.11	FALSE	41.1	25.3	83.6
Washington	57.97	38.77	-19.2	FALSE	39.1	25.8	81.9
West Virginia	29.69	68.62	38.93	TRUE	34.3	25.6	72.8
Wisconsin	49.45	48.82	-0.630000000000003	FALSE	41	27.3	88.8
Wyoming	26.55	69.94	43.39	TRUE	32.2	24.1	69.7
