Date	South	South.LCL	South.UCL	North	North.LCL	North.UCL	South.7	North.7	North.Variant	South.Variant	death	deathConfirmed	deathIncrease	deathProbable	hospitalized	hospitalizedCumulative	hospitalizedCurrently	hospitalizedIncrease	inIcuCurrently	negative	negativeIncrease	onVentilatorCurrently	positive	positiveCasesViral	positiveIncrease	positiveScore	positiveTestsPeopleAntibody	positiveTestsViral	recovered	totalTestEncountersViralIncrease	totalTestResults	totalTestResultsIncrease	totalTestsPeopleAntibody	totalTestsPeopleAntigen	totalTestsPeopleViral	totalTestsPeopleViralIncrease	totalTestsViral	totalTestsViralIncrease
2020-03-11	31	65	34	31	10	15	21	30			NA	NA	0	NA	NA	NA	NA	0	NA	NA	0	NA	92	92	0	0	NA	141	NA	0	684	182	NA	NA	NA	0	684	182
2020-03-12	25	36	31	32	8	12	11	17			NA	NA	0	NA	NA	NA	NA	0	NA	NA	0	NA	95	95	3	0	NA	170	NA	0	1116	432	NA	NA	NA	0	1116	432
2020-03-13	NA	NA	31	32	0	0	0	0			NA	NA	0	NA	NA	NA	NA	0	NA	92	92	NA	123	123	28	0	NA	234	NA	0	2101	985	NA	NA	NA	0	2101	985
2020-03-14	16	27	26	31	5	7	9	13			NA	NA	0	NA	NA	NA	NA	0	NA	352	260	NA	138	138	15	0	NA	308	NA	0	3036	935	NA	NA	NA	0	3036	935
2020-03-15	39	53	28	34	12	18	17	25			NA	NA	0	NA	NA	NA	NA	0	NA	352	0	NA	138	138	0	0	NA	380	NA	0	4120	1084	NA	NA	NA	0	4120	1084
2020-03-16	33	23	29	32	10	15	7	11			NA	NA	0	NA	NA	NA	NA	0	NA	352	0	NA	164	164	26	0	NA	532	NA	0	6355	2235	NA	NA	NA	0	6355	2235
2020-03-17	106	78	35	43	33	49	24	36			NA	NA	0	NA	NA	NA	NA	0	NA	1541	1189	NA	218	218	54	0	NA	787	NA	0	9145	2790	NA	NA	NA	0	9145	2790
2020-03-18	65	45	39	40	21	30	14	21			2	NA	2	NA	NA	NA	NA	0	NA	2015	474	NA	256	256	38	0	NA	1050	NA	0	12371	3226	NA	NA	NA	0	12371	3226
2020-03-19	19	49	37	42	6	9	16	23			3	NA	1	NA	NA	NA	NA	0	NA	2804	789	NA	328	328	72	0	NA	1336	NA	0	15509	3138	NA	NA	NA	0	15509	3138
2020-03-20	NA	NA	37	42	0	0	0	0			5	NA	2	NA	NA	NA	NA	0	NA	3678	874	NA	413	413	85	0	NA	1730	NA	0	19384	3875	NA	NA	NA	0	19384	3875
2020-03-21	NA	NA	44	46	0	0	0	0			7	NA	2	NA	61	61	NA	61	NA	4752	1074	NA	525	525	112	0	NA	2069	NA	0	22155	2771	NA	NA	NA	0	22155	2771
2020-03-22	NA	NA	45	45	0	0	0	0			11	NA	4	NA	71	71	NA	10	NA	5459	707	NA	646	646	121	0	NA	2367	NA	0	24257	2102	NA	NA	NA	0	24257	2102
2020-03-23	146	380	66	90	46	68	120	176			17	NA	6	NA	79	79	NA	8	NA	8145	2686	NA	777	777	131	0	NA	2999	NA	0	28354	4097	NA	NA	NA	0	28354	4097
2020-03-24	NA	321	56	129	0	0	102	148			26	NA	9	NA	94	94	NA	15	NA	12590	4445	NA	1159	1159	382	0	NA	3737	NA	0	32673	4319	NA	NA	NA	0	32673	4319
2020-03-25	30	228	43	192	9	14	72	105			33	NA	7	NA	103	103	NA	9	NA	17956	5366	NA	1838	1838	679	0	NA	4529	NA	0	37157	4484	NA	NA	NA	0	37157	4484
2020-03-26	370	39	117	182	117	171	12	18			42	NA	9	NA	219	219	NA	116	NA	21204	3248	NA	2417	2417	579	0	NA	5513	NA	0	41993	4836	NA	NA	NA	0	41993	4836
2020-03-27	34	299	86	201	11	16	95	138			57	NA	15	NA	219	219	NA	0	NA	26131	4927	NA	3240	3240	823	0	NA	6520	NA	0	46808	4815	NA	NA	NA	0	46808	4815
2020-03-28	NA	NA	86	201	0	0	0	0			72	NA	15	NA	350	350	NA	131	NA	30792	4661	NA	4257	4257	1017	0	NA	7224	NA	0	50010	3202	NA	NA	NA	0	50010	3202
2020-03-29	NA	NA	86	201	0	0	0	0			99	NA	27	NA	399	399	NA	49	NA	34111	3319	NA	4955	4955	698	0	NA	7800	NA	0	52483	2473	NA	NA	NA	0	52483	2473
2020-03-30	46	219	64	180	15	21	69	101			124	NA	25	NA	453	453	NA	54	NA	37041	2930	NA	5752	5752	797	0	NA	9117	NA	0	58064	5581	NA	NA	NA	0	58064	5581
