PostFile	PostDate	PostComments	PostHits	HitsStart	HitsEnd
2020-07-01-fiat-blog.md	2020-07-01	2	48	2021-07-15	2021-12-31
2020-07-02-retirement-of-iphegenia.md	2020-07-02	0	43	2021-07-15	2021-12-31
2020-07-03-bpd-racial-makeup.md	2020-07-03	0	34	2021-07-15	2021-12-31
2020-07-04-pfizer-biontech-covid-vaccine-ph12-readout.md	2020-07-04	0	18	2021-07-15	2021-12-31
2020-07-05-moderna-lonza-covid-vaccine-phase-3-delay.md	2020-07-05	0	32	2021-07-15	2021-12-31
2020-07-15-moderna-lonza-covid-vaccine-ph12-readout.md	2020-07-15	0	29	2021-07-15	2021-12-31
2020-07-18-Lord-Kelvin-on-quantitative-knowledge.md	2020-07-18	0	30	2021-07-15	2021-12-31
2020-07-20-math-test-post.md	2020-07-20	0	26	2021-07-15	2021-12-31
2020-08-01-moderna-covid-vaccine-phase3-start.md	2020-08-01	0	36	2021-07-15	2021-12-31
2020-08-07-whats-that-stupid-avatar.md	2020-08-07	1	38	2021-07-15	2021-12-31
2020-09-02-moderna-q2-earnings-call.md	2020-09-02	0	26	2021-07-15	2021-12-31
2020-09-23-covid-hope-and-vaccine-evaluations.md	2020-09-23	0	16	2021-07-15	2021-12-31
2020-09-26-petrov-day.md	2020-09-26	2	25	2021-07-15	2021-12-31
2020-10-02-night-of-the-living-beta-binomials.md	2020-10-02	1	44	2021-07-15	2021-12-31
2020-10-06-today-i-voted.md	2020-10-06	2	40	2021-07-15	2021-12-31
2020-10-15-covid-vs-statins-ace-inhibitors.md	2020-10-15	0	30	2021-07-15	2021-12-31
2020-10-24-in-autumn-in-new-england-thoughts-turn-to.md	2020-10-24	5	48	2021-07-15	2021-12-31
2020-11-02-coronavirus-winter-of-our-discontent.md	2020-11-02	1	22	2021-07-15	2021-12-31
2020-11-04-wastewater-corona-virus-rna-vs-medical-loads.md	2020-11-04	0	21	2021-07-15	2021-12-31
2020-11-09-pfizer-vaccine-efficacy-data.md	2020-11-09	0	24	2021-07-15	2021-12-31
2020-11-16-moderna-vaccine-efficacy-data.md	2020-11-16	0	26	2021-07-15	2021-12-31
2020-11-18-on-covid-vaccine-persistence.md	2020-11-18	0	16	2021-07-15	2021-12-31
2020-11-19-unsatisfactory-election.md	2020-11-19	1	21	2021-07-15	2021-12-31
2020-11-24-vaccine-sense-from-hank-green.md	2020-11-24	0	19	2021-07-15	2021-12-31
2020-11-27-astrazeneca-oxford-vaccine-readout.md	2020-11-27	0	29	2021-07-15	2021-12-31
2020-11-29-we-need-talmudic-arguments.md	2020-11-29	1	44	2021-07-15	2021-12-31
2020-11-30-who-voted.md	2020-11-30	0	19	2021-07-15	2021-12-31
2020-12-01-alas-arecibo.md	2020-12-01	0	23	2021-07-15	2021-12-31
2020-12-02-wow-signal.md	2020-12-02	0	28	2021-07-15	2021-12-31
2020-12-08-beautiful-vaccines.md	2020-12-08	0	27	2021-07-15	2021-12-31
2020-12-10-pfizer-vaccine-passes-vrbpac-review.md	2020-12-10	0	23	2021-07-15	2021-12-31
2020-12-12-pfizer-vaccine-efficacy-confidence-intervals.md	2020-12-12	0	108	2021-07-15	2021-12-31
2020-12-14-le-chat-noir.md	2020-12-14	2	47	2021-07-15	2021-12-31
2020-12-15-beautiful-vaccines-2.md	2020-12-15	0	33	2021-07-15	2021-12-31
2020-12-18-moderna-vaccine-passes-vrbpac-review.md	2020-12-18	0	37	2021-07-15	2021-12-31
2020-12-18-XKCD-explains-it-all.md	2020-12-18	0	34	2021-07-15	2021-12-31
2020-12-21-solstice-vs-dodds-day.md	2020-12-21	1	41	2021-07-15	2021-12-31
2020-12-28-youre-scaring-me.md	2020-12-28	0	20	2021-07-15	2021-12-31
2020-12-29-cops-and-santa.md	2020-12-29	2	21	2021-07-15	2021-12-31
2020-12-30-moderna-struck-by-lightning.md	2020-12-30	0	38	2021-07-15	2021-12-31
2020-12-31-coronavirus-mutation-vs-vaccine.md	2020-12-31	0	31	2021-07-15	2021-12-31
