Date	South	North	South.7	North.7	County	Cases	Deaths	Cases.New	Deaths.New
2020-03-09	NA	29	NA	NA	Suffolk	10	0	1	0
2020-03-09	NA	29	NA	NA	Middlesex	15	0	5	0
2020-03-09	NA	29	NA	NA	Norfolk	10	0	3	0
2020-03-10	38	15	NA	21	Norfolk	22	0	12	0
2020-03-10	38	15	NA	21	Middlesex	41	0	26	0
2020-03-10	38	15	NA	21	Suffolk	20	0	10	0
2020-03-11	31	65	34	31	Middlesex	41	0	0	0
2020-03-11	31	65	34	31	Suffolk	20	0	0	0
2020-03-11	31	65	34	31	Norfolk	22	0	0	0
2020-03-12	25	36	31	32	Suffolk	22	0	2	0
2020-03-12	25	36	31	32	Norfolk	24	0	2	0
2020-03-12	25	36	31	32	Middlesex	49	0	8	0
2020-03-13	NA	NA	31	32	Norfolk	24	0	0	0
2020-03-13	NA	NA	31	32	Suffolk	26	0	4	0
2020-03-13	NA	NA	31	32	Middlesex	60	0	11	0
2020-03-14	16	27	26	31	Suffolk	27	0	1	0
2020-03-14	16	27	26	31	Norfolk	28	0	4	0
2020-03-14	16	27	26	31	Middlesex	65	0	5	0
2020-03-15	39	53	28	34	Suffolk	31	0	4	0
2020-03-15	39	53	28	34	Middlesex	75	0	10	0
2020-03-15	39	53	28	34	Norfolk	31	0	3	0
2020-03-16	33	23	29	32	Suffolk	42	0	11	0
2020-03-16	33	23	29	32	Middlesex	83	0	8	0
2020-03-16	33	23	29	32	Norfolk	36	0	5	0
2020-03-17	106	78	35	43	Middlesex	89	0	6	0
2020-03-17	106	78	35	43	Norfolk	43	0	7	0
2020-03-17	106	78	35	43	Suffolk	42	0	0	0
2020-03-18	65	45	39	40	Suffolk	51	0	9	0
2020-03-18	65	45	39	40	Middlesex	100	0	11	0
2020-03-18	65	45	39	40	Norfolk	45	0	2	0
2020-03-19	19	49	37	42	Norfolk	52	0	7	0
2020-03-19	19	49	37	42	Middlesex	119	0	19	0
2020-03-19	19	49	37	42	Suffolk	72	0	21	0
2020-03-20	NA	NA	37	42	Suffolk	87	1	15	1
2020-03-20	NA	NA	37	42	Norfolk	64	0	12	0
2020-03-20	NA	NA	37	42	Middlesex	144	0	25	0
