PostFile	PostDate	PostComments	PostHits	HitsStart	HitsEnd
2020-07-01-fiat-blog.md	2020-07-01	2	120	2021-07-15	2023-01-01
2020-07-02-retirement-of-iphegenia.md	2020-07-02	0	127	2021-07-15	2023-01-01
2020-07-03-bpd-racial-makeup.md	2020-07-03	0	118	2021-07-15	2023-01-01
2020-07-04-pfizer-biontech-covid-vaccine-ph12-readout.md	2020-07-04	0	64	2021-07-15	2023-01-01
2020-07-05-moderna-lonza-covid-vaccine-phase-3-delay.md	2020-07-05	0	89	2021-07-15	2023-01-01
2020-07-15-moderna-lonza-covid-vaccine-ph12-readout.md	2020-07-15	0	84	2021-07-15	2023-01-01
2020-07-18-Lord-Kelvin-on-quantitative-knowledge.md	2020-07-18	0	171	2021-07-15	2023-01-01
2020-07-20-math-test-post.md	2020-07-20	0	89	2021-07-15	2023-01-01
2020-08-01-moderna-covid-vaccine-phase3-start.md	2020-08-01	0	87	2021-07-15	2023-01-01
2020-08-07-whats-that-stupid-avatar.md	2020-08-07	1	105	2021-07-15	2023-01-01
2020-09-02-moderna-q2-earnings-call.md	2020-09-02	0	75	2021-07-15	2023-01-01
2020-09-23-covid-hope-and-vaccine-evaluations.md	2020-09-23	0	61	2021-07-15	2023-01-01
2020-09-26-petrov-day.md	2020-09-26	2	136	2021-07-15	2023-01-01
2020-10-02-night-of-the-living-beta-binomials.md	2020-10-02	1	139	2021-07-15	2023-01-01
2020-10-06-today-i-voted.md	2020-10-06	2	111	2021-07-15	2023-01-01
2020-10-15-covid-vs-statins-ace-inhibitors.md	2020-10-15	0	98	2021-07-15	2023-01-01
2020-10-24-in-autumn-in-new-england-thoughts-turn-to.md	2020-10-24	5	120	2021-07-15	2023-01-01
2020-11-02-coronavirus-winter-of-our-discontent.md	2020-11-02	1	68	2021-07-15	2023-01-01
2020-11-04-wastewater-corona-virus-rna-vs-medical-loads.md	2020-11-04	0	91	2021-07-15	2023-01-01
2020-11-09-pfizer-vaccine-efficacy-data.md	2020-11-09	0	91	2021-07-15	2023-01-01
2020-11-16-moderna-vaccine-efficacy-data.md	2020-11-16	0	90	2021-07-15	2023-01-01
2020-11-18-on-covid-vaccine-persistence.md	2020-11-18	0	68	2021-07-15	2023-01-01
2020-11-19-unsatisfactory-election.md	2020-11-19	1	98	2021-07-15	2023-01-01
2020-11-24-vaccine-sense-from-hank-green.md	2020-11-24	0	53	2021-07-15	2023-01-01
