DayNum	Date	Soldiers	Tanks	ArmoredCombatVehicles	Artillery	MultipleLaunchRocketSystems	AirDefenceSystems	MilitaryJets	Helicopters	Drones	CruiseMissiles	WarshipsAndBoats	VehiclesAndFuelTanks	SpecialEquipment
1	1/22/2023	120760	3145	6268	2144	445	220	287	277	1892	749	17	4932	193
2	1/23/2023	121480	3150	6276	2146	447	220	287	277	1894	749	18	4936	193
3	1/24/2023	122170	3152	6284	2148	448	220	289	281	1897	749	18	4944	194
4	1/25/2023	123080	3161	6307	2154	450	220	290	281	1902	749	18	4967	194
5	1/26/2023	123860	3175	6334	2169	452	220	292	282	1908	749	18	4986	195
6	1/27/2023	124710	3182	6340	2180	452	221	292	283	1941	796	18	5001	199
7	1/28/2023	125510	3189	6344	2188	453	221	293	284	1947	796	18	5027	199
8	1/29/2023	126160	3197	6366	2195	453	221	293	284	1947	796	18	5037	199
9	1/30/2023	126650	3201	6369	2196	453	221	293	284	1947	796	18	5041	199
10	1/31/2023	127500	3201	6378	2197	454	221	293	284	1951	796	18	5048	200
11	2/1/2023	128420	3209	6382	2207	458	221	293	284	1951	796	18	5061	200
12	2/2/2023	129030	3211	6382	2212	458	222	293	284	1951	796	18	5064	200
13	2/3/2023	129870	3215	6388	2215	460	222	294	284	1952	796	18	5068	202
14	2/4/2023	130590	3218	6394	2220	460	225	294	284	1956	796	18	5081	203
15	2/5/2023	131290	3220	6405	2226	460	227	294	284	1958	796	18	5091	203
16	2/6/2023	132160	3231	6415	2231	461	227	294	284	1958	796	18	5104	203
17	2/7/2023	133190	3245	6443	2232	461	227	294	284	1958	796	18	5107	208
18	2/8/2023	134100	3253	6458	2236	461	228	295	285	1961	796	18	5112	211
19	2/9/2023	135010	3255	6468	2244	463	232	295	285	1967	796	18	5121	211
20	2/10/2023	135740	3258	6471	2251	463	233	295	286	1970	796	18	5126	211
21	2/11/2023	136880	3267	6474	2270	463	234	295	286	1997	857	18	5134	214
22	2/12/2023	137780	3280	6488	2287	465	234	296	286	2007	857	18	5148	215
23	2/13/2023	138340	3283	6492	2290	465	234	296	286	2007	857	18	5150	217
24	2/14/2023	139080	3286	6500	2299	466	234	298	286	2011	857	18	5155	218
25	2/15/2023	139770	3290	6507	2303	466	236	298	286	2011	857	18	5161	219
26	2/16/2023	140460	3296	6517	2306	466	239	298	287	2012	857	18	5167	219
27	2/17/2023	141260	3298	6520	2322	467	241	298	287	2013	871	18	5187	221
28	2/18/2023	142270	3303	6533	2326	469	243	298	287	2016	871	18	5196	223
29	2/19/2023	142860	3310	6545	2327	469	243	298	287	2016	873	18	5196	224
30	2/20/2023	143680	3316	6553	2334	471	243	299	287	2018	873	18	5209	225
31	2/21/2023	144440	3326	6562	2338	471	243	299	287	2023	873	18	5210	226
32	2/22/2023	145060	3334	6569	2345	471	243	299	287	2026	873	18	5212	226
33	2/23/2023	145850	3350	6593	2352	471	244	299	287	2029	873	18	5215	228
34	2/24/2023	146820	3363	6600	2363	474	247	299	287	2033	873	18	5224	229
