Name	Card	ECVotes	FormulaName	ImmedSubsets
None	0	0	None	NA
NV	1	6	NV	None
WI	1	10	WI	None
AZ	1	11	AZ	None
MI	1	15	MI	None
GA	1	16	GA	None
NC	1	16	NC	None
PA	1	19	PA	None
NV,WI	2	16	NVWI	NV,WI
AZ,NV	2	17	AZNV	AZ,NV
AZ,WI	2	21	AZWI	AZ,WI
MI,NV	2	21	MINV	MI,NV
GA,NV	2	22	GANV	GA,NV
NC,NV	2	22	NCNV	NC,NV
MI,WI	2	25	MIWI	MI,WI
NV,PA	2	25	NVPA	NV,PA
AZ,MI	2	26	AZMI	AZ,MI
GA,WI	2	26	GAWI	GA,WI
NC,WI	2	26	NCWI	NC,WI
AZ,GA	2	27	AZGA	AZ,GA
AZ,NC	2	27	AZNC	AZ,NC
PA,WI	2	29	PAWI	PA,WI
AZ,PA	2	30	AZPA	AZ,PA
GA,MI	2	31	GAMI	GA,MI
MI,NC	2	31	MINC	MI,NC
GA,NC	2	32	GANC	GA,NC
MI,PA	2	34	MIPA	MI,PA
GA,PA	2	35	GAPA	GA,PA
NC,PA	2	35	NCPA	NC,PA
AZ,NV,WI	3	27	AZNVWI	AZNV,AZWI,NVWI
MI,NV,WI	3	31	MINVWI	MINV,MIWI,NVWI
AZ,MI,NV	3	32	AZMINV	AZMI,AZNV,MINV
GA,NV,WI	3	32	GANVWI	GANV,GAWI,NVWI
NC,NV,WI	3	32	NCNVWI	NCNV,NCWI,NVWI
AZ,GA,NV	3	33	AZGANV	AZGA,AZNV,GANV
AZ,NC,NV	3	33	AZNCNV	AZNC,AZNV,NCNV
NV,PA,WI	3	35	NVPAWI	NVPA,NVWI,PAWI
AZ,MI,WI	3	36	AZMIWI	AZMI,AZWI,MIWI
AZ,NV,PA	3	36	AZNVPA	AZNV,AZPA,NVPA
AZ,GA,WI	3	37	AZGAWI	AZGA,AZWI,GAWI
AZ,NC,WI	3	37	AZNCWI	AZNC,AZWI,NCWI
GA,MI,NV	3	37	GAMINV	GAMI,GANV,MINV
MI,NC,NV	3	37	MINCNV	MINC,MINV,NCNV
GA,NC,NV	3	38	GANCNV	GANC,GANV,NCNV
AZ,PA,WI	3	40	AZPAWI	AZPA,AZWI,PAWI
MI,NV,PA	3	40	MINVPA	MINV,MIPA,NVPA
GA,MI,WI	3	41	GAMIWI	GAMI,GAWI,MIWI
GA,NV,PA	3	41	GANVPA	GANV,GAPA,NVPA
MI,NC,WI	3	41	MINCWI	MINC,MIWI,NCWI
NC,NV,PA	3	41	NCNVPA	NCNV,NCPA,NVPA
AZ,GA,MI	3	42	AZGAMI	AZGA,AZMI,GAMI
AZ,MI,NC	3	42	AZMINC	AZMI,AZNC,MINC
GA,NC,WI	3	42	GANCWI	GANC,GAWI,NCWI
AZ,GA,NC	3	43	AZGANC	AZGA,AZNC,GANC
MI,PA,WI	3	44	MIPAWI	MIPA,MIWI,PAWI
AZ,MI,PA	3	45	AZMIPA	AZMI,AZPA,MIPA
GA,PA,WI	3	45	GAPAWI	GAPA,GAWI,PAWI
