State	Popln.2020	X..US..2020.	House.Seats	House.Seats..	Popln.EC.Vote	Popln.Seat	X..EC..2020.	WR.House.Seats	WR.House.Seats..	Popln.ECWRVote	Popln.WR.Seat	X..WR.EC	House.Seats.Change	Republican	Democratic	Partisanship
Alabama	5024279	0.02	7	0.02	558253	717754	0.02	9	0.02	469559	577503	0.02	2	6	1	Red
Alaska	733391	0	1	0	244464	733391	0.01	1	0	222240	564147	0	0	0	1	Blue
Arizona	7151502	0.02	9	0.02	650137	794611	0.02	12	0.02	496632	576734	0.02	3	6	3	Red
Arkansas	3011524	0.01	4	0.01	501921	752881	0.01	5	0.01	418267	579139	0.01	1	4	0	Red
California	39538223	0.12	52	0.12	732189	760350	0.1	69	0.12	560826	577200	0.1	17	12	40	Blue
Colorado	5773714	0.02	8	0.02	577371	721714	0.02	10	0.02	481143	577371	0.02	2	3	5	Blue
Connecticut	3605944	0.01	5	0.01	515135	721189	0.01	6	0.01	434451	572372	0.01	1	0	5	Blue
Delaware	989948	0	1	0	329983	989948	0.01	2	0	267554	582322	0.01	1	0	1	Blue
Florida	21538187	0.07	28	0.06	717940	769221	0.06	37	0.07	548045	577431	0.06	9	20	8	Red
Georgia	10711908	0.03	14	0.03	669494	765136	0.03	19	0.03	519996	575909	0.03	5	9	5	Red
Hawaii	1455271	0	2	0	363818	727636	0.01	3	0	323394	582108	0.01	1	0	2	Blue
Idaho	1839106	0.01	2	0	459777	919553	0.01	3	0.01	353674	574721	0.01	1	2	0	Red
Illinois	12812508	0.04	17	0.04	674343	753677	0.04	22	0.04	529442	577140	0.04	5	3	14	Blue
Indiana	6785528	0.02	9	0.02	616866	753948	0.02	12	0.02	491705	575045	0.02	3	7	2	Red
Iowa	3190369	0.01	4	0.01	531728	797592	0.01	6	0.01	425383	580067	0.01	2	4	0	Red
Kansas	2937880	0.01	4	0.01	489647	734470	0.01	5	0.01	413786	576055	0.01	1	3	1	Red
Kentucky	4505836	0.01	6	0.01	563230	750973	0.01	8	0.01	459779	577671	0.01	2	5	1	Red
Louisiana	4657757	0.01	6	0.01	582220	776293	0.01	8	0.01	461164	575032	0.01	2	5	1	Red
Maine	1362359	0	2	0	340590	681180	0.01	2	0	309627	567650	0.01	0	0	2	Blue
Maryland	6177224	0.02	8	0.02	617722	772153	0.02	11	0.02	486396	577311	0.02	3	1	7	Blue
Massachusetts	7029917	0.02	9	0.02	639083	781102	0.02	12	0.02	495065	576223	0.02	3	0	9	Blue
Michigan	10077331	0.03	13	0.03	671822	775179	0.03	18	0.03	516786	575847	0.03	5	6	7	Blue
Minnesota	5706494	0.02	8	0.02	570649	713312	0.02	10	0.02	479537	576414	0.02	2	4	4	Blue
Mississippi	2961279	0.01	4	0.01	493547	740320	0.01	5	0.01	417082	580643	0.01	1	3	1	Red
Missouri	6154913	0.02	8	0.02	615491	769364	0.02	11	0.02	484639	575226	0.02	3	6	2	Red
Montana	1084225	0	2	0	271056	542113	0.01	2	0	278006	570645	0.01	0	2	0	Red
Nebraska	1961504	0.01	3	0.01	392301	653835	0.01	3	0.01	363241	576913	0.01	0	3	0	Red
Nevada	3104614	0.01	4	0.01	517436	776154	0.01	5	0.01	419542	574929	0.01	1	1	3	Blue
New Hampshire	1377529	0	2	0	344382	688765	0.01	2	0	313075	573970	0.01	0	0	2	Blue
New Jersey	9288994	0.03	12	0.03	663500	774083	0.03	16	0.03	513204	576956	0.03	4	3	9	Blue
New Mexico	2117522	0.01	3	0.01	423504	705841	0.01	4	0.01	371495	572303	0.01	1	0	3	Blue
New York	20201249	0.06	26	0.06	721473	776971	0.05	35	0.06	545980	577179	0.05	9	11	15	Blue
North Carolina	10439388	0.03	14	0.03	652462	745671	0.03	18	0.03	519373	576762	0.03	4	7	7	Blue
North Dakota	779094	0	1	0	259698	779094	0.01	1	0	229145	556496	0.01	0	1	0	Red
Ohio	11799448	0.04	15	0.03	694085	786630	0.03	21	0.04	524420	575583	0.03	6	10	5	Red
Oklahoma	3959353	0.01	5	0.01	565622	791871	0.01	7	0.01	444871	573819	0.01	2	5	0	Red
Oregon	4237256	0.01	6	0.01	529657	706209	0.01	7	0.01	455619	580446	0.01	1	2	4	Blue
Pennsylvania	13002700	0.04	17	0.04	684353	764865	0.04	23	0.04	530722	577898	0.04	6	8	9	Blue
Rhode Island	1097379	0	2	0	274345	548690	0.01	2	0	281379	577568	0.01	0	0	2	Blue
South Carolina	5118425	0.02	7	0.02	568714	731204	0.02	9	0.02	469580	575104	0.02	2	6	1	Red
South Dakota	886667	0	1	0	295556	886667	0.01	2	0	253333	591111	0.01	1	1	0	Red
Tennessee	6910840	0.02	9	0.02	628258	767871	0.02	12	0.02	493631	575903	0.02	3	8	1	Red
Texas	29145505	0.09	38	0.09	728638	766987	0.07	51	0.09	555152	577139	0.08	13	25	13	Red
Utah	3271616	0.01	4	0.01	545269	817904	0.01	6	0.01	424885	573968	0.01	2	4	0	Red
Vermont	643077	0	1	0	214359	643077	0.01	1	0	207444	584615	0	0	0	1	Blue
Virginia	8631393	0.03	11	0.03	663953	784672	0.02	15	0.03	507729	575426	0.03	4	5	6	Blue
Washington	7705281	0.02	10	0.02	642107	770528	0.02	13	0.02	500343	575021	0.02	3	2	8	Blue
West Virginia	1793716	0.01	2	0	448429	896858	0.01	3	0.01	351709	578618	0.01	1	2	0	Red
Wisconsin	5893718	0.02	8	0.02	589372	736715	0.02	10	0.02	483092	577815	0.02	2	6	2	Red
Wyoming	576851	0	1	0	192284	576851	0.01	1	0	192284	576851	0	0	1	0	Red
