Date	Open	High	Low	Close 	Adj Close 	Volume
2024-Dec-30	290.88	292.47	288.78	290.82	290.82	4815600
2024-Dec-27	295.33	295.93	291.99	294.07	294.07	3634900
2024-Dec-26	296.44	297.78	295.54	297.29	297.29	4307800
2024-Dec-24	294.57	297.17	294.25	297.12	297.12	2642200
2024-Dec-23	292.53	294.19	290.54	294.00	294.00	3704500
2024-Dec-20	288.61	295.71	288.11	293.28	292.34	3837000
2024-Dec-19	292.99	293.70	289.87	289.98	289.05	4826200
2024-Dec-18	299.76	300.53	289.95	290.39	289.46	3890900
2024-Dec-17	299.96	300.18	299.00	299.66	298.70	3059900
2024-Dec-16	300.57	301.75	300.43	301.15	300.18	2545400
2024-Dec-13	301.00	301.27	299.10	299.93	298.97	2279200
2024-Dec-12	301.48	301.55	300.04	300.08	299.12	2120000
2024-Dec-11	301.00	302.29	300.86	301.80	300.83	2235300
2024-Dec-10	301.00	301.00	299.07	299.39	298.43	2557100
2024-Dec-9	302.53	302.65	300.33	300.52	299.56	2953900
2024-Dec-6	302.31	302.95	302.02	302.45	301.48	2332900
2024-Dec-5	302.60	302.75	301.52	301.61	300.64	2183400
2024-Dec-4	301.48	302.60	301.17	302.45	301.48	3258100
2024-Dec-3	300.38	300.57	299.64	300.43	299.47	2101200
2024-Dec-2	300.30	300.75	299.80	300.43	299.47	3583700
2024-Nov-29	298.94	300.38	298.71	299.86	298.90	1811900
2024-Nov-27	299.13	299.47	297.40	298.20	297.24	2730500
2024-Nov-26	298.43	299.39	297.87	299.05	298.09	3292800
2024-Nov-25	298.67	299.47	296.90	297.96	297.00	3384600
2024-Nov-22	295.13	296.81	295.13	296.51	295.56	2639800
2024-Nov-21	294.53	295.77	291.95	295.05	294.10	2560700
2024-Nov-20	292.92	293.16	290.14	293.00	292.06	2670800
2024-Nov-19	289.90	293.09	289.45	292.83	291.89	2342200
2024-Nov-18	290.64	292.24	290.13	291.49	290.55	2992100
2024-Nov-15	292.51	292.61	289.35	290.31	289.38	4025800
2024-Nov-14	296.50	296.61	293.72	294.04	293.10	3280800
2024-Nov-13	296.80	297.55	295.62	296.23	295.28	2829100
2024-Nov-12	297.42	297.78	295.09	296.37	295.42	3474800
2024-Nov-11	297.93	298.12	296.76	297.54	296.59	3200900
2024-Nov-8	295.61	297.37	295.51	296.71	295.76	4142400
2024-Nov-7	294.02	295.90	294.01	295.33	294.38	4109000
2024-Nov-6	292.30	293.61	290.21	293.28	292.34	5676800
2024-Nov-5	282.11	285.30	282.01	285.30	284.38	2060300
2024-Nov-4	282.17	283.07	280.87	281.72	280.82	2383900
2024-Nov-1	282.52	284.49	281.96	282.23	281.32	2449400
2024-Oct-31	284.78	284.78	280.96	281.03	280.13	3027400
2024-Oct-30	286.98	288.10	286.03	286.37	285.45	2204100
2024-Oct-29	286.27	287.65	285.45	287.08	286.16	2503400
2024-Oct-28	287.06	287.48	286.56	286.70	285.78	1874300
2024-Oct-25	287.03	288.25	285.05	285.54	284.62	2813700
2024-Oct-24	286.12	286.18	284.47	285.81	284.89	2235600
2024-Oct-23	286.77	286.91	283.34	285.05	284.14	2637300
2024-Oct-22	286.90	288.25	286.47	287.65	286.73	2029000
2024-Oct-21	288.51	288.80	286.64	287.98	287.06	2320100
2024-Oct-18	288.70	289.26	287.91	288.89	287.96	1822100
2024-Oct-17	289.47	289.70	287.73	287.76	286.84	2810600
2024-Oct-16	286.72	288.11	286.23	287.82	286.90	2215300
2024-Oct-15	288.32	288.69	285.91	286.36	285.44	3260800
2024-Oct-14	286.86	288.73	286.61	288.34	287.41	1997000
2024-Oct-11	283.97	286.39	283.95	286.11	285.19	1799500
2024-Oct-10	283.78	284.61	283.03	283.91	283.00	2547200
2024-Oct-9	282.55	284.74	282.26	284.50	283.59	2123800
2024-Oct-8	281.28	282.88	280.88	282.53	281.62	2164600
2024-Oct-7	282.04	282.13	279.54	280.17	279.27	11465600
2024-Oct-4	282.46	282.89	280.35	282.75	281.84	2335400
